DECADE,NAME,GP,ALLSTAR,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF,PLUS.MINUS
2000s,Kevin Garnett,769,10,38.2,21.6,12.1,4.7,1.3,1.6,2.6,8.5,17.1,49.9,0.2,0.7,28.6,4.4,5.6,79.4,"29,345","16,638","9,288","3,603","1,037","1,206","2,003","1,882",3322
2000s,Tim Duncan,767,10,36.5,21.4,11.7,3.3,0.8,2.3,2.7,8.2,16.2,50.4,0,0.1,20.7,5.1,7.4,68.6,"27,974","16,431","8,999","2,502",589,"1,786","2,070","1,993",5468
2000s,Kobe Bryant,748,10,39.4,28.2,5.9,5.2,1.7,0.6,3.1,9.8,21.5,45.7,1.4,4.1,34.2,7.2,8.5,84.4,"29,476","21,065","4,381","3,921","1,246",431,"2,326","2,092",3470
2000s,Allen Iverson,682,10,41.8,28.1,3.6,6.2,2.2,0.2,3.6,9.7,22.9,42.4,1.1,3.6,31.1,7.5,9.5,79.3,"28,534","19,154","2,471","4,227","1,521",106,"2,450","1,198",1187
2000s,Ray Allen,728,9,37.9,22.1,4.4,3.8,1.2,0.2,2.3,7.7,17.1,45.2,2.7,6.7,40.3,4,4.4,90,"27,561","16,101","3,238","2,801",901,143,"1,674","1,623",2189
2000s,Shaquille O'Neal,662,9,34.7,23.1,10.6,2.7,0.5,2.2,2.7,9.1,15.5,58.5,0,0,0,5,9.5,52.2,"22,941","15,276","7,029","1,789",344,"1,431","1,818","2,276",3459
2000s,Dirk Nowitzki,792,8,37.5,23.6,8.9,2.8,0.9,1,2,8.2,17.3,47.4,1.3,3.5,38.2,5.9,6.7,87.4,"29,734","18,699","7,020","2,200",747,830,"1,545","2,073",4665
2000s,Vince Carter,727,8,37.8,23.9,5.4,4.4,1.3,0.7,2.4,8.7,19.5,44.6,1.6,4.3,37.8,4.8,6.1,79.9,"27,511","17,341","3,960","3,166",914,525,"1,741","2,211",731
2000s,Paul Pierce,765,7,37.8,23.3,6.3,4,1.5,0.6,3.1,7.6,17.1,44.3,1.7,4.6,36.3,6.4,8,80.1,"28,893","17,812","4,798","3,068","1,183",480,"2,376","2,201",1925
2000s,Jason Kidd,760,7,37.3,14,7,9.2,1.9,0.3,3.1,5,12.3,40.2,1.5,4.2,34.8,2.6,3.3,81.1,"28,311","10,649","5,327","7,029","1,472",236,"2,331","1,438",2576
2000s,Tracy McGrady,671,7,37.5,24.4,6.3,5.2,1.4,0.9,2.5,8.9,20.3,43.5,1.5,4.4,34,5.2,6.9,75,"25,177","16,380","4,230","3,489",938,617,"1,684","1,305",1523
2000s,Yao Ming,481,7,32.7,19.1,9.3,1.6,0.4,1.9,2.7,7,13.3,52.5,0,0,20,5.1,6.2,83.2,"15,727","9,196","4,467",765,189,912,"1,304","1,583",1518
2000s,Steve Nash,753,6,33.7,16.2,3.2,9.1,0.8,0.1,3,5.8,11.8,49.4,1.6,3.7,43.6,2.9,3.2,90.5,"25,394","12,219","2,420","6,886",614,65,"2,288","1,311",4078
2000s,Jermaine O'Neal,652,6,32,16.5,8.6,1.8,0.6,2.2,2.3,6.3,13.8,46,0,0.1,15.9,3.8,5.3,72,"20,883","10,758","5,595","1,150",381,"1,436","1,478","2,123",755
2000s,LeBron James,472,5,40.6,27.5,7,6.7,1.8,0.9,3.3,9.8,20.9,47.1,1.4,4.1,32.8,6.5,8.8,73.8,"19,142","12,993","3,307","3,159",830,405,"1,541",951,1669
