DECADE,PLAYER_ID,PLAYER_NAME,SG,SF,C,PF,PG,GP,ALLSTAR,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,POINTS,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS
1999-2008,KB,Kobe Bryant,1,1,0,0,0,748,10,39.4,28.2,5.9,5.2,1.7,0.6,3.1,9.8,21.5,45.7,1.4,4.1,34.2,7.2,8.5,84.4,29476,21065,4381,3921,1246,431,2326,2092,3470
1999-2008,TD,Tim Duncan,0,0,1,1,0,767,10,36.5,21.4,11.7,3.3,0.8,2.3,2.7,8.2,16.2,50.4,0,0.1,20.7,5.1,7.4,68.6,27974,16431,8999,2502,589,1786,2070,1993,5468
1999-2008,KG,Kevin Garnett,0,1,1,1,0,769,10,38.2,21.6,12.1,4.7,1.3,1.6,2.6,8.5,17.1,49.9,0.2,0.7,28.6,4.4,5.6,79.4,29345,16638,9288,3603,1037,1206,2003,1882,3322
1999-2008,AI,Allen Iverson,1,0,0,0,1,682,10,41.8,28.1,3.6,6.2,2.2,0.2,3.6,9.7,22.9,42.4,1.1,3.6,31.1,7.5,9.5,79.3,28534,19154,2471,4227,1521,106,2450,1198,1187
1999-2008,RA,Ray Allen,1,0,0,0,0,728,9,37.9,22.1,4.4,3.8,1.2,0.2,2.3,7.7,17.1,45.2,2.7,6.7,40.3,4,4.4,90,27561,16101,3238,2801,901,143,1674,1623,2189
1999-2008,SO,Shaquille O'Neal,0,0,1,0,0,662,9,34.7,23.1,10.6,2.7,0.5,2.2,2.7,9.1,15.5,58.5,0,0,0,5,9.5,52.2,22941,15276,7029,1789,344,1431,1818,2276,3459
1999-2008,VC,Vince Carter,1,1,0,0,0,727,8,37.8,23.9,5.4,4.4,1.3,0.7,2.4,8.7,19.5,44.6,1.6,4.3,37.8,4.8,6.1,79.9,27511,17341,3960,3166,914,252,1741,2211,731
1999-2008,DN,Dirk Nowitzki,0,0,1,1,0,792,8,37.5,23.6,8.9,2.8,0.9,1,2,8.2,17.3,47.4,1.3,3.5,38.2,5.9,6.7,87.4,29734,18699,7020,2200,747,830,1545,2073,4665
1999-2008,YM,Yao Ming,0,0,1,0,0,481,7,32.7,19.1,9.3,1.6,0.4,1.9,2.7,7,13.3,52.5,0,0,20,5.1,6.2,83.2,15727,9196,4467,765,189,912,1304,1583,1518
1999-2008,JK,Jason Kidd,1,0,0,0,1,760,7,37.3,14,7,9.2,1.9,0.3,3.1,5,12.3,40.2,1.5,4.2,34.8,2.6,3.3,81.1,28311,10649,5327,7029,1472,236,2331,1438,2576
2009-2018,KD,Kevin Durant,0,1,0,1,0,695,10,36.9,28,7.4,4.4,1.1,1.2,3.2,9.4,18.9,50.1,2,5.3,38.4,7,8,88.5,25652,19445,5162,3089,774,813,2196,1362,4830
2009-2018,LJ,Lebron James,0,1,0,1,0,726,10,37.3,26.9,7.7,7.6,1.5,0.7,3.6,9.9,18.7,52.9,1.5,4.2,35.3,5.6,7.7,73.5,27094,19550,5573,5503,1107,516,2622,1256,4729
2009-2018,CA,Carmelo Anthony,0,1,0,1,0,619,8,35.6,23.9,6.8,2.9,0.9,0.5,2.4,8.5,19.3,44.1,1.7,4.7,36.1,5.1,6.2,82.6,22016,14783,4208,1798,578,328,1457,1728,828
2009-2018,DW,Dwayne Wade,1,0,0,0,1,660,8,31.6,20.1,4.6,4.7,1.4,0.8,2.8,7.6,15.8,47.7,0.6,1.9,29.7,4.4,5.8,75.8,20848,13243,3008,3076,900,506,1829,1309,1801
2009-2018,RW,Russell Westbrook,0,0,0,0,1,739,8,34.7,23.8,7.3,8.7,1.8,0.3,4.1,8.4,19.2,43.7,1.2,3.9,30.9,5.9,7.3,80,25661,17603,5361,6462,1332,234,3052,1870,3425
2009-2018,LA,LaMarcus Aldridge,0,0,1,1,0,730,7,35.2,20.8,8.9,2.1,0.7,1.1,1.7,8.4,17,49.2,0.2,0.5,29,3.9,4.8,82,25720,15213,6473,1553,543,780,1208,1712,2517
2009-2018,CB,Chris Bosh,0,0,1,1,0,454,7,34.5,18.9,7.9,1.9,0.8,0.9,1.9,7,14.1,50,0.6,1.7,34.4,4.3,5.3,80.3,15647,8592,3575,846,376,400,850,1000,1846
2009-2018,KB,Kobe Bryant,1,1,0,0,0,398,7,35.4,24.7,5.1,4.8,1.3,0.2,3.2,8.7,20.2,43.1,1.6,5.1,30.9,5.7,6.9,82.9,14106,9823,2028,1905,503,96,1258,826,267
2009-2018,JH,James Harden,1,0,0,0,1,765,7,34.1,24.3,5.2,6.2,1.6,0.5,3.6,7.2,16.2,44.3,2.6,7.3,36.5,7.3,8.5,85.7,26106,18627,4000,4743,1189,383,2770,1977,3136
2009-2018,CP,Chris Paul,0,0,0,0,1,650,7,34.1,18.1,4.4,9.6,2.1,0.2,2.4,6.3,13.5,46.9,1.6,4.1,37.7,3.9,4.4,88,22181,11770,2829,6215,1396,99,1528,1573,4212
